"authors","year","title","source_title","publisher","volume","issue","start_page","end_page","doi"
"Gupta, Dipak Kumar; Bhatia, Arti; Kumar, Amit; Das, Tapas; Jain, Niveta; Tomer, Ritu; Malyan, Sandeep K.; Fagodiya, R. K.; Dubey, Rachana; Pathak, Himanshu",2016,"Mitigation of greenhouse gas emission from rice–wheat system of the Indo-Gangetic plains: Through tillage, irrigation and fertilizer management","Agriculture, Ecosystems & Environment","Elsevier BV","230",NA,"1","9","10.1016/j.agee.2016.05.023"
"Rajendran, Karthika; Patil, Somanagouda B.; Kumar, Shiv",2015,"Phenotyping for Problem Soils","Phenomics in Crop Plants: Trends, Options and Limitations","Springer India",NA,NA,"129","146","10.1007/978-81-322-2226-2_9"
"O'Brien, Peter L.; Daigh, Aaron L.M.",2019,"Tillage practices alter the surface energy balance – A review","Soil and Tillage Research","Elsevier BV","195",NA,"104354",NA,"10.1016/j.still.2019.104354"
"Aravindakshan, Sreejith; Rossi, Frederick; Krupnik, Timothy J.",2015,"What does benchmarking of wheat farmers practicing conservation tillage in the eastern Indo-Gangetic Plains tell us about energy use efficiency? An application of slack-based data envelopment analysis","Energy","Elsevier BV","90","1","483","493","10.1016/j.energy.2015.07.088"
"Rao, Ch. Srinivasa; Veni, V. Girija; Prasad, J.V.N.S.; Sharma, K.L.; C, Chandrasekhar; Rohilla, P.P.; Singh, Y.V.",2017,"Improving carbon balance with climate-resilient management practices in tropical agro-ecosystems of Western India","Carbon Management","Informa UK Limited","8","2","175","190","10.1080/17583004.2017.1309202"
"Turk, Andrej",2013,"Wheat straw decomposition, N-mineralization and microbial biomass after 5 years of conservation tillage in Gleysol field",NA,NA,NA,NA,NA,NA,NA
"de Carvalho, Arminda Moreira; Bustamante, Mercedes M. C.; Coser, Thais Rodrigues; Marchão, Robélio Leandro; Malaquias, Juaci Vitória",2016,"Óxidos de nitrogênio e CO2 de Latossolo cultivado com milho em sucessão a plantas de cobertura","Pesquisa Agropecuária Brasileira","FapUNIFESP (SciELO)","51","9","1213","1222","10.1590/s0100-204x2016000900021"
"Janzen, H. Henry",2014,"Beyond carbon sequestration: soil as conduit of solar energy","European Journal of Soil Science","Wiley","66","1","19","32","10.1111/ejss.12194"
"Zhu-Barker, Xia; Easter, Mark; Swan, Amy; Carlson, Mary; Thompson, Lucas; Horwath, William R.; Paustian, Keith; Steenwerth, Kerri L.",2019,"Soil Management Practices to Mitigate Nitrous Oxide Emissions and Inform Emission Factors in Arid Irrigated Specialty Crop Systems","Soil Systems","MDPI AG","3","4","76",NA,"10.3390/soilsystems3040076"
"Lognoul, Margaux; Theodorakopoulos, Nicolas; Hiel, Marie-Pierre; Regaert, Donat; Broux, François; Heinesch, Bernard; Bodson, Bernard; Vandenbol, Micheline; Aubinet, Marc",2017,"Impact of tillage on greenhouse gas emissions by an agricultural crop and dynamics of N2O fluxes: Insights from automated closed chamber measurements","Soil and Tillage Research","Elsevier BV","167",NA,"80","89","10.1016/j.still.2016.11.008"
"Huang, Yawen; Ren, Wei; Wang, Lixin; Hui, Dafeng; Grove, John H.; Yang, Xiaojuan; Tao, Bo; Goff, Ben M.",2018,"Greenhouse gas emissions and crop yield in no-tillage systems: A meta-analysis","Agriculture, Ecosystems & Environment","Elsevier BV","268",NA,"144","153","10.1016/j.agee.2018.09.002"
"Zhang, Zhi-Sheng; Guo, Li-Jin; Liu, T.Q.; Li, Chengfang; Cao, Cougui",2015,"Effects of tillage practices and straw returning methods on greenhouse gas emissions and net ecosystem economic budget in rice-wheat cropping systems in central China","Atmospheric Environment","Elsevier BV","122",NA,"636","644","10.1016/j.atmosenv.2015.09.065"
"Langeroodi, Ali Reza Safahani; Osipitan, O. Adewale; Radicetti, Emanuele",2019,"Benefits of sustainable management practices on mitigating greenhouse gas emissions in soybean crop (Glycine max).","The Science of the total environment","Elsevier","660",NA,"1593","1601","10.1016/j.scitotenv.2019.01.074"
"Ashiq, Waqar; Vasava, Hiteshkumar B.; Ghimire, Uttam; Daggupati, Prasad; Biswas, Asim",2021,"Topography Controls N2O Emissions Differently during Early and Late Corn Growing Season","Agronomy","MDPI AG","11","1","187",NA,"10.3390/agronomy11010187"
"Gathala, Mahesh K.; Laing, Alison M.; Tiwari, T. P.; Timsina, Jagadish; Islam, Saiful; Bhattacharya, Prateek Madhab; Dhar, Tapamay; Ghosh, Arunava; Sinha, Abhas Kumar; Chowdhury, Apurba K.; Hossain, Shakhawat; Hossain, Ilias; Molla, Samim Hossain; Rashid, Mamunur; Kumar, Sanjay; Kumar, Ranvir; Dutta, Swaraj Kumar; Srivastwa, Pawan K.; Chaudhary, Bedanand; Jha, Sanjeet K.; Ghimire, Prakash; Bastola, Biswash; Chaubey, Ravi Kant; Kumar, Ujjwal; Gérard, Bruno",2020,"Energy-efficient, sustainable crop production practices benefit smallholder farmers and the environment across three countries in the Eastern Gangetic Plains, South Asia","Journal of Cleaner Production","Elsevier BV","246",NA,"118982",NA,"10.1016/j.jclepro.2019.118982"
"Perego, Alessia; Rocca, A.; Cattivelli, Valentina; Tabaglio, Vincenzo; Fiorini, Andrea; Barbieri, S.; Schillaci, Calogero; Chiodini, M. E.; Brenna, S.; Acutis, Marco",2019,"Agro-environmental aspects of conservation agriculture compared to conventional systems: A 3-year experience on 20 farms in the Po valley (Northern Italy)","Agricultural Systems","Elsevier BV","168","1","73","87","10.1016/j.agsy.2018.10.008"
"Carbonell-Bojollo, Rosa; Veroz-Gonzalez, Oscar; Ordóñez-Fernández, Rafaela; Moreno-García, Manuel; Basch, Gottlieb; Kassam, Amir; de Torres, Miguel Angel Repullo-Ruibérriz; González-Sánchez, Emilio J.",2019,"The Effect of Conservation Agriculture and Environmental Factors on CO2 Emissions in a Rainfed Crop Rotation","Sustainability","MDPI AG","11","14","3955",NA,"10.3390/su11143955"
"Liu, Zheng; Yu, Ning-Ning; Camberato, James J.; Gao, Jia; Liu, Peng; Zhao, Bin; Zhang, Jiwang",2019,"Crop production kept stable and sustainable with the decrease of nitrogen rate in North China Plain: An economic and environmental assessment over 8 years.","Scientific reports","Nature Publishing Group","9","1","19335",NA,"10.1038/s41598-019-55913-1"
"Ouyang, Wei; Geng, Xiaojun; Huang, Wejia; Hao, Fanghua; Zhao, Jinbo",2015,"Soil respiration characteristics in different land uses and response of soil organic carbon to biochar addition in high-latitude agricultural area","Environmental science and pollution research international","Springer Science + Business Media","23","3","2279","2287","10.1007/s11356-015-5306-9"
"Sarkar, Sukamal; Hossain, Akbar; Saha, Saikat; Samui, Indranil; Sau, Sayan; Meena, Ram Swaroop",2020,"Agroecological Footprints Management for Sustainable Food System - Carbon and Nitrogen Footprints Management for Environmental and Food Security","Agroecological Footprints Management for Sustainable Food System","Springer Singapore",NA,NA,"115","153","10.1007/978-981-15-9496-0_4"
"Boardman, Dara L.; Easterby, Steven; Clark, Kerry M.; Kitchen, Newell R.; Staples, Jill S.; Reinbott, Timothy M.; Kremer, Robert J.",2018,"Do Tillage, Cover Crops, and Compost Management within Organic Grain Cropping Affect Greenhouse Gas Emissions?","Agronomy Journal","Wiley","110","5","1893","1904","10.2134/agronj2018.01.0023"
"Aravindakshan, Sreejith; Rossi, Frederick; Amjath-Babu, T.S.; Veettil, Prakashan Chellattan; Krupnik, Timothy J.",2018,"Application of a bias-corrected meta-frontier approach and an endogenous switching regression to analyze the technical efficiency of conservation tillage for wheat in South Asia","Journal of productivity analysis","Springer Netherlands","49","2","153","171","10.1007/s11123-018-0525-y"
"Revill, Andrew; Emmel, Carmen; D'Odorico, Petra; Buchmann, Nina; Hörtnagl, Lukas; Eugster, Werner",2019,"Estimating cropland carbon fluxes: A process-based model evaluation at a Swiss crop-rotation site","Field Crops Research","Elsevier BV","234",NA,"95","106","10.1016/j.fcr.2019.02.006"
"Sheehy, Jatta",2015,"Changes in soil C dynamics and N2O emissions under minimum tillage cereal crop production in boreal agroecosystems : Implications to climate change mitigation",NA,NA,NA,NA,NA,NA,NA
"Singh, Hardeep; Northup, Brian K.; Baath, Gurjinder S.; Gowda, Prashanth P.; Kakani, Vijaya Gopal",2019,"Greenhouse mitigation strategies for agronomic and grazing lands of the US Southern Great Plains","Mitigation and Adaptation Strategies for Global Change","Springer Netherlands","25","5","1","35",NA
"Lognoul, Margaux; Debacq, Alain; De Ligne, A.; Dumont, Benjamin; Manise, Tanguy; Bodson, Bernard; Heinesch, B.; Aubinet, Marc",2019,"N2O flux short-term response to temperature and topsoil disturbance in a fertilized crop: An eddy covariance campaign","Agricultural and Forest Meteorology","Elsevier BV","271",NA,"193","206","10.1016/j.agrformet.2019.02.033"
"Zhu-Barker, Xia; Steenwerth, Kerri L.",2018,"Nitrous Oxide Production From Soils in the Future: Processes, Controls, and Responses to Climate Change","Developments in Soil Science","Elsevier","35",NA,"131","183","10.1016/b978-0-444-63865-6.00006-5"
"Bosco, Simona; Volpi, Iride; Di Nasso, Nicoletta Nassi o; Triana, Federico; Roncucci, N.; Tozzini, Cristiano; Villani, R.; Laville, Patricia; Neri, Simone; Mattei, Federica; Virgili, Giorgio; Nuvoli, Stefania; Fabbrini, Luigi; Bonari, Enrico",2015,"LIFE+IPNOA mobile prototype for the monitoring of soil N2O emissions from arable crops: first-year results on durum wheat","Italian Journal of Agronomy","PAGEPress Publications","10","3","124","131","10.4081/ija.2015.669"
"Kosamkar, Pranali; Kulkarni, Vrushali",2020,"FICTA (1) - Effect of Soil and Climatic Attribute on Greenhouse Gas Emission from Agriculture Sector.","Evolution in Computational Intelligence","Springer Singapore",NA,NA,"91","101","10.1007/978-981-15-5788-0_9"
"Renwick, William H.; Vanni, Michael J.; Fisher, Thomas J.; Morris, Emily",2018,"Stream Nitrogen, Phosphorus, and Sediment Concentrations Show Contrasting Long-term Trends Associated with Agricultural Change.","Journal of environmental quality","ASA/CSSA/SSSA","47","6","1513","1521","10.2134/jeq2018.04.0162"
"Kandel, Tanka P.; Gowda, Prasanna H.; Northup, Brian K.",2020,"Influence of Tillage Systems, and Forms and Rates of Nitrogen Fertilizers on CO2 and N2O Fluxes from Winter Wheat Cultivation in Oklahoma","Agronomy","MDPI AG","10","3","320",NA,"10.3390/agronomy10030320"
"Squalli, Jay; Adamkiewicz, Gary",2018,"Organic farming and greenhouse gas emissions: A longitudinal U.S. state-level study","Journal of Cleaner Production","Elsevier BV","192",NA,"30","42","10.1016/j.jclepro.2018.04.160"
"Sanaullah, Muhammad; Usman, Muhammad; Wakeel, Abdul; Cheema, Sardar Alam; Ashraf, Imran; Farooq, Muhammad",2020,"Terrestrial ecosystem functioning affected by agricultural management systems: A review","Soil and Tillage Research","Elsevier BV","196",NA,"104464",NA,"10.1016/j.still.2019.104464"
"Regehr, Alison",2014,"Evaluation of maize and soybean intercropping on soil quality and nitrogen transformations in the Argentine Pampa",NA,NA,NA,NA,NA,NA,NA
"Fuentes-Llanillo, Rafael; Telles, Tiago Santos; Júnior, Dimas Soares; de Melo, Thadeu Rodrigues; Friedrich, Theodor; Kassam, Amir",NA,"Expansion of no-tillage practice in conservation agriculture in Brazil","Soil and Tillage Research","Elsevier BV","208",NA,"104877",NA,"10.1016/j.still.2020.104877"
"Singh, Hardeep; Northup, Brian K.; Baath, Gurjinder S.; Gowda, Prashanth P.; Kakani, Vijaya G.",2019,"Greenhouse mitigation strategies for agronomic and grazing lands of the US Southern Great Plains","Mitigation and Adaptation Strategies for Global Change","Springer Science and Business Media LLC","25","5","819","853","10.1007/s11027-019-09894-1"
"Singh, Pooja; Heikkinen, Jaakko; Ketoja, Elise; Nuutinen, Visa; Palojärvi, Ansa; Sheehy, Jatta; Esala, Martti; Mitra, Sudip; Alakukku, Laura; Regina, Kristiina",2015,"Tillage and crop residue management methods had minor effects on the stock and stabilization of topsoil carbon in a 30-year field experiment.","Science of The Total Environment","Elsevier","518",NA,"337","344",NA
"Reeves, Steven; Somasundaram, J.; Wang, Weijin; Heenan, Marijke; Finn, Damien; Dalal, Ram C.",2019,"Effect of soil aggregate size and long-term contrasting tillage, stubble and nitrogen management regimes on CO2 fluxes from a Vertisol","Geoderma","Elsevier BV","337",NA,"1086","1096","10.1016/j.geoderma.2018.11.022"
"Abdalla, Mohamed; Hastings, Astley; Cheng, Kun; Yue, Qian; Chadwick, Dave; Espenberg, Mikk; Truu, Jaak; Rees, Robert M.; Smith, Pete",2019,"A critical review of the impacts of cover crops on nitrogen leaching, net greenhouse gas balance and crop productivity.","Global change biology","Wiley-Blackwell","25","8","2530","2543","10.1111/gcb.14644"
"Kesenheimer, Katharina; Pandeya, Hemant Raj; Müller, Torsten; Buegger, Franz; Ruser, Reiner",2018,"Nitrous oxide emissions after incorporation of winter oilseed rape (Brassica napus L.) residues under two different tillage treatments","Journal of Plant Nutrition and Soil Science","Wiley","182","1","48","59","10.1002/jpln.201700507"
"Krol, Dominika; Jones, Michael B.; Williams, Michael; Richards, Karl G.; Bourdin, F.; Lanigan, Gary",2016,"The effect of renovation of long-term temperate grassland on N2O emissions and N leaching from contrasting soils.","Science of The Total Environment","Elsevier","560",NA,"233","240",NA
"Zhang, Guo; Wang, Xiaoke; Zhang, Lu; Xiong, Kangning; Zheng, Chunyan; Lu, Fei; Zhao, Hong; Zheng, Hua; Ouyang, Zhiyun",2018,"Carbon and water footprints of major cereal crops production in China","Journal of Cleaner Production","Elsevier BV","194",NA,"613","623","10.1016/j.jclepro.2018.05.024"
"Forte, Annachiara; Fiorentino, Nunzio; Fagnano, Massimo; Fierro, Angelo",2017,"Mitigation impact of minimum tillage on CO2 and N2O emissions from a Mediterranean maize cropped soil under low-water input management","Soil and Tillage Research","Elsevier BV","166",NA,"167","178","10.1016/j.still.2016.09.014"
"George, Timothy S.; Hawes, Cathy; Newton, Adrian C.; McKenzie, Blair M.; Hallett, Paul D.; Valentine, Tracy A.",2014,"Field Phenotyping and Long-Term Platforms to Characterise How Crop Genotypes Interact with Soil Processes and the Environment","Agronomy","MDPI AG","4","2","242","278","10.3390/agronomy4020242"
"Wani, Sartaj A.; Sofi, M. Nayeem; Chand, Subhash; Hakeem, Khalid Rehman",2016,"Soil Carbon Sequestration: As a Climate Change Adaptation andMitigation Strategy - An Overview","The International Journal of Plant, Animal and Environmental Sciences",NA,"2016","1",NA,NA,NA
"Zhang, Zongze; Chen, J.; Liu, T.Q.; Cao, Cougui; Li, Chengfang",2016,"Effects of nitrogen fertilizer sources and tillage practices on greenhouse gas emissions in paddy fields of central China","Atmospheric Environment","Elsevier BV","144",NA,"274","281","10.1016/j.atmosenv.2016.09.003"
"Mulas, Daniel; Seco, Victoria; Casquero, Pedro A.; Velázquez, Encarna; González-Andrés, Fernando",2015,"Inoculation with indigenous rhizobium strains increases yields of common bean ( Phaseolus vulgaris L.) in northern Spain, although its efficiency is affected by the tillage system","Symbiosis","Springer Netherlands","67","1","113","124",NA
"Agostini, Alessandro; Battini, Ferdinando; Giuntoli, Jacopo; Tabaglio, Vincenzo; Padella, Monica; Baxter, David; Marelli, Luisa; Amaducci, Stefano",2015,"Environmentally Sustainable Biogas? The Key Role of Manure Co-Digestion with Energy Crops","Energies","MDPI AG","8","6","5234","5265","10.3390/en8065234"
"Scherer, Laura; Verburg, Peter H.",2017,"Mapping and linking supply- and demand-side measures in climate-smart agriculture. A review","Agronomy for Sustainable Development","Springer Science and Business Media LLC","37","6","1","17","10.1007/s13593-017-0475-1"
"Abdalla, Mohamed; Hastings, Astley; Helmy, M.; Prescher, A.; Osborne, Bruce; Lanigan, Gary; Forristal, Dermot; Killi, Dilek; Maratha, P.; Williams, Michael; Rueangritsarakul, K.; Smith, Pete; Nolan, Paul; Jones, Michael B.",2014,"Assessing the combined use of reduced tillage and cover crops for mitigating greenhouse gas emissions from arable ecosystem","Geoderma","Elsevier","223",NA,"9","20",NA
"Gong, Yingting; Li, Peiran; Sakagami, Nobuo; Komatsuzaki, Masakazu",2021,"No-tillage with rye cover crop can reduce net global warming potential and yield-scaled global warming potential in the long-term organic soybean field","Soil and Tillage Research","Elsevier BV","205",NA,"104747",NA,"10.1016/j.still.2020.104747"
